date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:26:43	106746/106746	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Mar%202018%2002:27:28%20GMT	http://ninzio.com/craft/header-4/	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/header-4/index.html	(from http://ninzio.com/craft/)
09:26:45	106760/106760	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Mar%202018%2002:27:29%20GMT	http://ninzio.com/craft/header-5/	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/header-5/index.html	(from http://ninzio.com/craft/)
09:26:47	32896/32896	---M--	200	added ('OK')	image/jpeg	etag:%228080-56374623df100%22	http://ninzio.com/craft/wp-content/uploads/2017/11/portfolio2.jpg	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/wp-content/uploads/2017/11/portfolio2.jpg	(from http://ninzio.com/craft/)
09:26:49	107582/107582	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Mar%202018%2002:27:34%20GMT	http://ninzio.com/craft/header-6/	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/header-6/index.html	(from http://ninzio.com/craft/)
09:26:53	118590/118590	---M--	200	added ('OK')	image/jpeg	etag:%221cf3e-56374623cb880%22	http://ninzio.com/craft/wp-content/uploads/2017/11/portfolio1.jpg	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/wp-content/uploads/2017/11/portfolio1.jpg	(from http://ninzio.com/craft/)
09:26:53	68482/68482	---M--	200	added ('OK')	image/jpeg	etag:%2210b82-56374623e2f80%22	http://ninzio.com/craft/wp-content/uploads/2017/11/portfolio3-600x450.jpg	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/wp-content/uploads/2017/11/portfolio3-600x450.jpg	(from http://ninzio.com/craft/)
09:26:55	108924/108924	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Mar%202018%2002:27:40%20GMT	http://ninzio.com/craft/header-7/	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/header-7/index.html	(from http://ninzio.com/craft/)
09:26:57	65104/65104	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Mar%202018%2002:27:42%20GMT	http://ninzio.com/craft/about-us/	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/about-us/index.html	(from http://ninzio.com/craft/)
09:27:02	28201/28201	---M--	200	added ('OK')	image/jpeg	etag:%226e29-56374623e7da0%22	http://ninzio.com/craft/wp-content/uploads/2017/11/portfolio5-600x450.jpg	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/wp-content/uploads/2017/11/portfolio5-600x450.jpg	(from http://ninzio.com/craft/)
09:27:03	84361/84361	---M--	200	added ('OK')	image/jpeg	etag:%2214989-56374623e5e60%22	http://ninzio.com/craft/wp-content/uploads/2017/11/portfolio4-600x450.jpg	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/wp-content/uploads/2017/11/portfolio4-600x450.jpg	(from http://ninzio.com/craft/)
09:27:03	114057/114057	---M--	200	added ('OK')	image/jpeg	etag:%221bd89-56374623e3f20%22	http://ninzio.com/craft/wp-content/uploads/2017/11/portfolio3.jpg	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/wp-content/uploads/2017/11/portfolio3.jpg	(from http://ninzio.com/craft/)
09:27:04	65283/65283	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Mar%202018%2002:27:49%20GMT	http://ninzio.com/craft/services/	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/services/index.html	(from http://ninzio.com/craft/)
09:27:04	52704/52704	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Mar%202018%2002:27:50%20GMT	http://ninzio.com/craft/contact-us/	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/contact-us/index.html	(from http://ninzio.com/craft/)
09:27:05	62840/62840	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Mar%202018%2002:27:50%20GMT	http://ninzio.com/craft/pricing/	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/pricing/index.html	(from http://ninzio.com/craft/)
09:27:06	59826/59826	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Mar%202018%2002:27:52%20GMT	http://ninzio.com/craft/portfolio-standard/	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/portfolio-standard/index.html	(from http://ninzio.com/craft/)
09:27:11	42935/42935	---M--	200	added ('OK')	image/jpeg	etag:%22a7b7-56374623e8d40%22	http://ninzio.com/craft/wp-content/uploads/2017/11/portfolio5.jpg	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/wp-content/uploads/2017/11/portfolio5.jpg	(from http://ninzio.com/craft/)
09:27:12	59996/59996	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Mar%202018%2002:27:58%20GMT	http://ninzio.com/craft/portfolio-simple/	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/portfolio-simple/index.html	(from http://ninzio.com/craft/)
09:27:15	64809/64809	---M--	200	added ('OK')	image/jpeg	etag:%22fd29-56374623e9ce0%22	http://ninzio.com/craft/wp-content/uploads/2017/11/portfolio6-600x450.jpg	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/wp-content/uploads/2017/11/portfolio6-600x450.jpg	(from http://ninzio.com/craft/)
